ID,LATITUDE,LONGITUDE
981,52.25,5.25
982,32.25,5.75
983,32.75,5.75
984,33.25,5.75
985,33.75,5.75
986,34.25,5.75
987,34.75,5.75
988,35.25,5.75
989,35.75,5.75
990,36.25,5.75
991,36.75,5.75
992,43.75,5.75
993,44.25,5.75
994,44.75,5.75
995,45.25,5.75
996,45.75,5.75
997,46.25,5.75
998,46.75,5.75
999,47.25,5.75
1000,47.75,5.75
1001,48.25,5.75
1002,48.75,5.75
1003,49.25,5.75
1004,49.75,5.75
1005,50.25,5.75
1006,50.75,5.75
1007,51.25,5.75
1008,51.75,5.75
1009,52.25,5.75
1010,59.75,5.75
1011,61.75,5.75
1012,62.25,5.75
1013,32.25,6.25
1014,32.75,6.25
1015,33.25,6.25
1016,33.75,6.25
1017,34.25,6.25
1018,34.75,6.25
1019,35.25,6.25
1020,35.75,6.25
1021,36.25,6.25
1022,36.75,6.25
1023,43.25,6.25
1024,43.75,6.25
1025,44.25,6.25
1026,44.75,6.25
1027,45.25,6.25
1028,45.75,6.25
1029,46.25,6.25
1030,46.75,6.25
1031,47.25,6.25
1032,47.75,6.25
1033,48.25,6.25
1034,48.75,6.25
1035,49.25,6.25
1036,49.75,6.25
1037,50.25,6.25
1038,50.75,6.25
1039,51.25,6.25
1040,51.75,6.25
1041,52.25,6.25
1042,52.75,6.25
1043,53.25,6.25
1044,58.75,6.25
1045,59.75,6.25
1046,60.75,6.25
1047,61.25,6.25
1048,61.75,6.25
1049,62.25,6.25
1050,32.25,6.75
1051,32.75,6.75
1052,33.25,6.75
1053,33.75,6.75
1054,34.25,6.75
1055,34.75,6.75
1056,35.25,6.75
1057,35.75,6.75
1058,36.25,6.75
1059,36.75,6.75
1060,43.75,6.75
1061,44.25,6.75
1062,44.75,6.75
1063,45.25,6.75
1064,45.75,6.75
1065,46.25,6.75
1066,46.75,6.75
1067,47.25,6.75
1068,47.75,6.75
1069,48.25,6.75
1070,48.75,6.75
1071,49.25,6.75
1072,49.75,6.75
1073,50.25,6.75
1074,50.75,6.75
1075,51.25,6.75
1076,51.75,6.75
1077,52.25,6.75
1078,52.75,6.75
1079,53.25,6.75
1080,58.75,6.75
1081,59.25,6.75
1082,60.25,6.75
1083,60.75,6.75
1084,61.75,6.75
1085,62.25,6.75
1086,32.25,7.25
1087,32.75,7.25
1088,33.25,7.25
1089,33.75,7.25
1090,34.25,7.25
1091,34.75,7.25
1092,35.25,7.25
1093,35.75,7.25
1094,36.25,7.25
1095,36.75,7.25
1096,43.75,7.25
1097,44.25,7.25
1098,44.75,7.25
1099,45.25,7.25
1100,45.75,7.25
1101,46.25,7.25
1102,46.75,7.25
